Element,Transition,Theory (eV),Unc (eV),Direct (eV),Unc. (eV)
Ga,L2M1,985.3,1.6,984.22,0.23
Ga,L2M2,1036.7,1.3,,
Ga,L2M3,1040.7,1.4,,
Ga,L2M4,1124.82,0.79,1124.76,0.3
Ga,L2M5,1125.39,0.8,,
Ga,L2N1,1140.59,0.54,,
Ga,L2N2,1145.4,0.4,,
Ga,L2 edge,1152.66,0.35,1145.02,0.78
Ga,L3M1,958.5,1.3,957.17,0.22
Ga,L3M2,1009.9,1.3,,
Ga,L3M3,1013.9,1.3,,
Ga,L3M4,1098.03,0.75,1097.97,0.14
Ga,L3M5,1098.59,0.76,1097.97,0.14
Ga,L3N1,1113.79,0.49,,
Ga,L3N2,1118.61,0.36,,
Ga,L3 edge,1125.86,0.31,1116.96,0.15
Ge,KL1,9692.08,0.84,,
Ge,KL2,9855.67,0.51,9855.42,0.1
Ge,KL3,9886.67,0.46,9886.52,0.11
Ge,KM1,10924.0,1.3,,
Ge,KM2,10979.4,1.3,10978.1,1.3
Ge,KM3,10984.0,1.3,10982.19,0.29
Ge,KM4,11074.59,0.63,11074.8,1.5
Ge,KM5,11075.33,0.63,11074.8,1.5
Ge,KN1,11098.72,0.52,,
Ge,KN2,11105.84,0.37,11100.97,0.29
Ge,KN3,,,11100.97,0.29
Ge,K edge,11113.82,0.16,11103.76,0.74
Ge,L1M1,1231.9,1.9,,
Ge,L1M2,1287.3,1.9,1286.12,0.39
Ge,L1M3,1292.0,1.8,1294.04,0.4
Ge,L1M4,1382.5,1.2,,
Ge,L1M5,1383.2,1.2,,
Ge,L1N1,1406.6,1.1,,
Ge,L1N2,1413.76,0.93,,
Ge,L1 edge,1421.74,0.73,1413.23,0.24
Ge,L2M1,1068.3,1.5,1067.98,0.27
Ge,L2M2,1123.7,1.5,,
Ge,L2M3,1128.4,1.5,,
Ge,L2M4,1218.91,0.82,1218.5,0.18
Ge,L2M5,1219.65,0.83,,
Ge,L2N1,1243.05,0.72,,
Ge,L2N2,1250.17,0.56,,
Ge,L2 edge,1258.15,0.35,1249.32,0.19
Ge,L3M1,1037.3,1.4,1036.21,0.51
Ge,L3M2,1092.7,1.4,,
Ge,L3M3,1097.4,1.4,,
Ge,L3M4,1187.91,0.78,1188.01,0.13
Ge,L3M5,1188.66,0.78,1188.01,0.13
Ge,L3N1,1212.05,0.67,,
Ge,L3N2,1219.17,0.51,,
Ge,L3 edge,1227.15,0.31,1217.06,0.18
As,KL1,10336.7,0.82,,
As,KL2,10507.84,0.51,10507.5,0.15
As,KL3,10543.48,0.47,10543.2674,0.0081
As,KM1,11663.0,1.3,,
As,KM2,11721.6,1.2,11719.86,0.84
As,KM3,11727.1,1.2,11725.73,0.37
As,KM4,11825.05,0.64,11821.4,1.7
As,KM5,11825.89,0.65,11821.4,1.7
As,KN1,11858.67,0.77,,
As,KN2,11867.94,0.64,11864.34,0.5
As,KN3,11866.38,0.23,11864.34,0.5
As,K edge,11876.74,0.18,11864.3,1.7
As,L1M1,1326.3,1.8,,
As,L1M2,1384.9,1.7,1388.54,0.23
As,L1M3,1390.4,1.7,1388.54,0.23
As,L1M4,1488.3,1.2,,
As,L1M5,1489.2,1.2,,
As,L1N1,1522.0,1.3,,
As,L1N2,1531.2,1.2,,
As,L1N3,1529.68,0.76,,
As,L1 edge,1540.04,0.7,1529.32,0.28
As,L2M1,1155.2,1.5,1155.04,0.16
As,L2M2,1213.8,1.4,,
As,L2M3,1219.3,1.4,,
As,L2M4,1317.21,0.82,1316.99,0.17
As,L2M5,1318.06,0.82,,
As,L2N1,1350.84,0.95,,
As,L2N2,1360.1,0.82,,
As,L2N3,1358.54,0.41,,
As,L2 edge,1368.9,0.35,1358.71,0.22
As,L3M1,1119.5,1.3,1119.78,0.15
As,L3M2,1178.1,1.3,,
As,L3M3,1183.7,1.3,,
As,L3M4,1281.56,0.79,1282.01,0.16
As,L3M5,1282.41,0.79,1282.01,0.16
As,L3N1,1315.19,0.91,,
As,L3N2,1324.46,0.78,,
As,L3N3,1322.9,0.37,,
As,L3 edge,1333.26,0.31,1323.61,0.21
Se,KL1,11003.49,0.84,,
Se,KL2,11181.82,0.52,11181.53,0.31
Se,KL3,11222.55,0.48,11222.52,0.12
Se,KM1,12427.9,1.3,,
Se,KM2,12490.3,1.2,12489.73,1.0
Se,KM3,12496.5,1.2,12496.03,0.67
Se,KM4,12601.47,0.68,12596.0,1.9
Se,KM5,12602.42,0.67,12596.0,1.9
Se,KN1,12645.7,1.1,,
Se,KN2,12656.38,0.73,12652.29,0.96
Se,KN3,12655.11,0.33,12652.29,0.96
Se,K edge,12666.72,0.19,12654.61,0.19
Se,L1M1,1424.4,1.8,,
Se,L1M2,1486.8,1.8,1490.0,2.4
Se,L1M3,1493.0,1.8,1490.0,2.4
Se,L1M4,1598.0,1.2,,
Se,L1M5,1598.9,1.2,,
Se,L1N1,1642.2,1.6,,
Se,L1N2,1652.9,1.3,,
Se,L1N3,1651.62,0.88,,
Se,L1 edge,1663.23,0.73,1652.44,0.33
Se,L2M1,1246.0,1.5,1244.55,0.18
Se,L2M2,1308.4,1.4,,
Se,L2M3,1314.7,1.4,,
Se,L2M4,1419.65,0.84,1419.24,0.12
Se,L2M5,1420.6,0.84,,
Se,L2N1,1463.9,1.3,,
Se,L2N2,1474.55,0.89,,
Se,L2N3,1473.29,0.5,,
Se,L2 edge,1484.9,0.35,1474.75,0.26
Se,L3M1,1205.3,1.3,1204.41,0.17
Se,L3M2,1267.7,1.3,,
Se,L3M3,1273.9,1.3,,
Se,L3M4,1378.92,0.8,1379.11,0.11
Se,L3M5,1379.88,0.8,1379.11,0.11
Se,L3N1,1423.1,1.2,,
Se,L3N2,1433.83,0.86,,
Se,L3N3,1432.57,0.46,,
Se,L3 edge,1444.18,0.31,1433.98,0.25
Br,KL1,11692.04,0.88,,
Br,KL2,11877.69,0.53,11877.75,0.34
Br,KL3,11924.02,0.48,11924.36,0.34
Br,KM1,13218.6,1.3,,
Br,KM2,13284.8,1.2,13284.7,1.1
Br,KM3,13292.1,1.2,13291.56,0.42
Br,KM4,13403.97,0.7,13396.3,2.1
Br,KM5,13405.04,0.7,13396.3,2.1
Br,KN1,13459.8,1.5,,
Br,KN2,13471.5,0.71,13469.6,0.43
Br,KN3,13470.84,0.41,13469.6,0.43
Br,K edge,13483.86,0.19,13470.5,2.2
Br,L1M1,1526.5,1.8,,
Br,L1M2,1592.8,1.8,1596.3,2.7
Br,L1M3,1600.0,1.8,1596.3,2.7
Br,L1M4,1711.9,1.3,,
Br,L1M5,1713.0,1.3,,
Br,L1N1,1767.8,2.1,,
Br,L1N2,1779.5,1.3,,
Br,L1N3,1778.79,0.97,,
Br,L1 edge,1791.81,0.76,1781.6,1.9
Br,L2M1,1340.9,1.4,1339.63,0.21
Br,L2M2,1407.2,1.4,,
Br,L2M3,1414.4,1.4,,
Br,L2M4,1526.28,0.86,1525.92,0.14
Br,L2M5,1527.35,0.85,,
Br,L2N1,1582.1,1.7,,
Br,L2N2,1593.81,0.87,,
Br,L2N3,1593.15,0.56,,
Br,L2 edge,1606.17,0.35,1599.2,1.5
Br,L3M1,1294.5,1.4,1293.5,0.2
Br,L3M2,1360.8,1.4,,
Br,L3M3,1368.1,1.3,,
Br,L3M4,1479.95,0.82,1480.46,0.13
Br,L3M5,1481.02,0.81,1480.46,0.13
Br,L3N1,1535.8,1.6,,
Br,L3N2,1547.49,0.83,,
Br,L3N3,1546.82,0.52,,
Br,L3 edge,1559.84,0.31,1552.9,1.4
Kr,KL1,12402.57,0.92,,
Kr,KL2,12595.58,0.54,12595.424,56.0
Kr,KL3,12648.0,0.49,12648.002,52.0
Kr,KM1,14034.9,1.2,,
Kr,KM2,14105.7,1.3,14104.96,0.11
Kr,KM3,14113.3,1.2,14112.815,80.0
Kr,KM4,14232.63,0.72,14237.7,4.8
Kr,KM5,14233.88,0.72,14237.7,4.8
Kr,KN1,14301.2,2.0,,
Kr,KN2,14313.43,0.59,14315.0,2.4
Kr,KN3,14314.1,0.58,14315.0,2.4
Kr,KN4,,,14328.2,4.9
Kr,KN5,,,14328.2,4.9
Kr,K edge,14328.06,0.2,14324.61,0.24
Kr,L1M1,1632.4,1.8,,
Kr,L1M2,1703.1,1.9,1697.5,1.7
Kr,L1M3,1710.7,1.8,1706.8,1.7
Kr,L1M4,1830.1,1.3,,
Kr,L1M5,1831.3,1.3,,
Kr,L1N1,1898.7,2.5,,
Kr,L1N2,1910.9,1.2,,
Kr,L1N3,1911.5,1.2,,
Kr,L1 edge,1925.49,0.79,1916.3,4.4
Kr,L2M1,1439.4,1.4,,
Kr,L2M2,1510.1,1.4,,
Kr,L2M3,1517.7,1.4,,
Kr,L2M4,1637.05,0.87,1636.876,21.0
Kr,L2M5,1638.3,0.87,,
Kr,L2N1,1705.7,2.1,1703.3,1.7
Kr,L2N2,1717.86,0.75,,
Kr,L2N3,1718.52,0.73,,
Kr,L2 edge,1732.49,0.36,1729.66,0.36
Kr,L3M1,1386.9,1.4,,
Kr,L3M2,1457.7,1.4,,
Kr,L3M3,1465.3,1.3,,
Kr,L3M4,1584.63,0.83,1585.411,26.0
Kr,L3M5,1585.88,0.83,1585.411,26.0
Kr,L3N1,1653.2,2.1,1650.9,1.3
Kr,L3N2,1665.43,0.7,,
Kr,L3N3,1666.09,0.68,,
Kr,L3 edge,1680.06,0.31,1677.25,0.34
Rb,KL1,13135.18,0.93,,
Rb,KL2,13335.75,0.56,13335.88,0.21
Rb,KL3,13395.05,0.51,13395.49,0.19
Rb,KM1,14878.6,1.2,,
Rb,KM2,14952.7,1.3,14951.86,0.8
Rb,KM3,14961.6,1.2,14961.42,0.53
Rb,KM4,15088.21,0.76,15084.8,2.7
Rb,KM5,15089.65,0.75,15084.8,2.7
Rb,KN1,15166.8,2.0,,
Rb,KN2,15185.59,0.61,15185.54,0.83
Rb,KN3,15186.55,0.61,15185.54,0.83
Rb,KN4,,,15205.1,5.5
Rb,KN5,,,15205.1,5.5
Rb,K edge,15207.74,0.22,15202.5,1.4
Rb,L1M1,1743.4,1.8,,
Rb,L1M2,1817.6,1.9,1817.74,0.12
Rb,L1M3,1826.4,1.8,1826.6,0.12
Rb,L1M4,1953.0,1.4,,
Rb,L1M5,1954.5,1.3,,
Rb,L1N1,2031.6,2.5,,
Rb,L1N2,2050.4,1.2,2050.72,0.15
Rb,L1N3,2051.4,1.2,2050.72,0.15
Rb,L1 edge,2072.55,0.81,2063.6,2.5
Rb,L2M1,1542.9,1.4,1541.78,0.11
Rb,L2M2,1617.0,1.4,,
Rb,L2M3,1625.9,1.3,,
Rb,L2M4,1752.46,0.9,1752.18,0.11
Rb,L2M5,1753.9,0.88,,
Rb,L2N1,1831.0,2.1,1835.33,0.12
Rb,L2N2,1849.84,0.75,,
Rb,L2N3,1850.79,0.74,,
Rb,L2 edge,1871.98,0.36,1866.08,0.42
Rb,L3M1,1483.6,1.4,1482.4,0.1
Rb,L3M2,1557.7,1.4,,
Rb,L3M3,1566.6,1.3,,
Rb,L3M4,1693.16,0.85,1692.57,0.1
Rb,L3M5,1694.6,0.84,1694.141,69.0
Rb,L3N1,1771.7,2.0,1775.18,0.11
Rb,L3N2,1790.54,0.7,,
Rb,L3N3,1791.5,0.7,,
Rb,L3 edge,1812.69,0.31,1806.8,0.39
Sr,KL1,13889.75,0.96,,
Sr,KL2,14098.01,0.57,14098.03,0.24
Sr,KL3,14164.8,0.51,14165.2,0.24
Sr,KM1,15748.1,1.2,,
Sr,KM2,15826.2,1.3,15825.17,0.9
Sr,KM3,15836.3,1.2,15835.89,0.6
Sr,KM4,15970.2,0.77,15968.9,3.0
Sr,KM5,15971.9,0.76,15968.9,3.0
Sr,KN1,16068.8,2.1,,
Sr,KN2,16085.68,0.68,16084.68,0.93
Sr,KN3,16086.84,0.41,16084.68,0.93
Sr,KN4,,,16103.9,1.5
Sr,KN5,,,16103.9,1.5
Sr,K edge,16115.26,0.23,16107.2,1.5
Sr,L1M1,1858.4,1.8,,
Sr,L1M2,1936.4,1.9,1936.44,0.13
Sr,L1M3,1946.6,1.8,1947.2,0.14
Sr,L1M4,2080.5,1.4,,
Sr,L1M5,2082.2,1.4,,
Sr,L1N1,2179.0,2.7,,
Sr,L1N2,2195.9,1.3,2196.52,0.17
Sr,L1N3,2197.1,1.0,2196.52,0.17
Sr,L1 edge,2225.51,0.83,2217.1,2.9
Sr,L2M1,1650.1,1.4,1649.337,97.0
Sr,L2M2,1728.1,1.4,,
Sr,L2M3,1738.3,1.3,,
Sr,L2M4,1872.19,0.92,1871.74,0.13
Sr,L2M5,1873.88,0.89,,
Sr,L2N1,1970.7,2.2,1969.19,0.14
Sr,L2N2,1987.67,0.82,,
Sr,L2N3,1988.82,0.55,,
Sr,L2 edge,2017.25,0.36,2008.46,0.48
Sr,L3M1,1583.3,1.4,1582.174,90.0
Sr,L3M2,1661.4,1.4,,
Sr,L3M3,1671.5,1.3,,
Sr,L3M4,1805.4,0.86,1804.77,0.12
Sr,L3M5,1807.1,0.85,1806.585,78.0
Sr,L3N1,1904.0,2.2,1901.83,0.13
Sr,L3N2,1920.88,0.76,,
Sr,L3N3,1922.04,0.5,,
Sr,L3 edge,1950.46,0.31,1941.17,0.45
Y,KL1,14667.13,0.99,,
Y,KL2,14883.0,0.58,14882.94,0.26
Y,KL3,14958.14,0.53,14958.54,0.27
Y,KM1,16644.7,1.2,,
Y,KM2,16726.8,1.3,16725.9,1.0
Y,KM3,16738.4,1.2,16738.08,0.67
Y,KM4,16879.2,0.81,16879.8,3.4
Y,KM5,16881.39,0.79,16879.8,3.4
Y,KN1,16994.8,2.3,,
Y,KN2,17012.08,0.62,17015.6,1.4
Y,KN3,17015.3,0.49,17015.6,1.4
Y,KN4,17040.9,0.59,17036.2,1.7
Y,KN5,,,17036.2,1.7
Y,K edge,17047.9,0.24,17036.612,50.0
Y,L1M1,1977.5,1.8,,
Y,L1M2,2059.6,1.9,2059.99,0.15
Y,L1M3,2071.3,1.8,2072.17,0.15
Y,L1M4,2212.1,1.4,,
Y,L1M5,2214.3,1.4,,
Y,L1N1,2327.7,2.9,,
Y,L1N2,2345.0,1.2,2346.82,0.2
Y,L1N3,2348.2,1.1,2346.82,0.2
Y,L1N4,2373.8,1.2,,
Y,L1 edge,2380.76,0.85,2376.5,3.4
Y,L2M1,1761.7,1.3,1760.96,0.11
Y,L2M2,1843.8,1.4,,
Y,L2M3,1855.4,1.3,,
Y,L2M4,1996.2,0.93,1995.85,0.14
Y,L2M5,1998.39,0.91,,
Y,L2N1,2111.8,2.4,2110.19,0.16
Y,L2N2,2129.08,0.74,,
Y,L2N3,2132.3,0.61,,
Y,L2N4,2157.9,0.71,,
Y,L2 edge,2164.89,0.36,2153.97,0.55
Y,L3M1,1686.5,1.4,1685.39,0.1
Y,L3M2,1768.6,1.4,,
Y,L3M3,1780.3,1.3,,
Y,L3M4,1921.07,0.88,1920.48,0.13
Y,L3M5,1923.26,0.86,1922.564,88.0
Y,L3N1,2036.7,2.4,2034.43,0.15
Y,L3N2,2053.95,0.69,,
Y,L3N3,2057.16,0.56,,
Y,L3N4,2082.77,0.66,,
Y,L3 edge,2089.76,0.31,2079.54,0.52
Zr,KL1,15467.0,1.0,,
Zr,KL2,15690.61,0.6,15690.645,50.0
Zr,KL3,15774.87,0.54,15774.914,54.0
Zr,KM1,17568.0,1.2,,
Zr,KM2,17654.1,1.3,17652.628,75.0
Zr,KM3,17667.4,1.2,17666.578,76.0
Zr,KM4,17815.21,0.83,17816.1,3.8
Zr,KM5,17817.98,0.81,17816.1,3.8
Zr,KN1,17948.5,2.5,,
Zr,KN2,17966.67,0.73,17970.3,1.5
Zr,KN3,17971.47,0.56,17970.3,1.5
Zr,KN4,18000.09,0.75,17994.3,1.9
Zr,KN5,,,17994.3,1.9
Zr,K edge,18008.15,0.26,17995.872,80.0
Zr,L1M1,2101.0,1.8,,
Zr,L1M2,2187.1,1.9,2187.714,36.0
Zr,L1M3,2200.4,1.8,2201.063,32.0
Zr,L1M4,2348.2,1.4,,
Zr,L1M5,2350.9,1.4,,
Zr,L1N1,2481.5,3.1,,
Zr,L1N2,2499.6,1.3,2502.87,0.22
Zr,L1N3,2504.4,1.2,2502.87,0.22
Zr,L1N4,2533.0,1.4,,
Zr,L1 edge,2541.1,0.87,2541.1,3.9
Zr,L2M1,1877.4,1.3,1876.56,0.13
Zr,L2M2,1963.5,1.4,,
Zr,L2M3,1976.8,1.3,,
Zr,L2M4,2124.59,0.94,2124.394,28.0
Zr,L2M5,2127.36,0.93,,
Zr,L2N1,2257.9,2.6,2255.17,0.18
Zr,L2N2,2276.06,0.83,,
Zr,L2N3,2280.86,0.66,,
Zr,L2N4,2309.48,0.86,2302.66,0.19
Zr,L2 edge,2317.53,0.36,2305.36,0.63
Zr,L3M1,1793.2,1.4,1792.111,23.0
Zr,L3M2,1879.2,1.4,,
Zr,L3M3,1892.6,1.3,,
Zr,L3M4,2040.34,0.89,2040.19,0.16
Zr,L3M5,2043.11,0.87,2042.489,27.0
Zr,L3N1,2173.7,2.5,2171.28,0.17
Zr,L3N2,2191.8,0.78,,
Zr,L3N3,2196.6,0.62,,
Zr,L3N4,2225.22,0.81,2219.4,0.18
Zr,L3N5,,,2219.4,0.18
Zr,L3 edge,2233.28,0.32,2222.3,0.59
Nb,KL1,16290.1,1.0,,
Nb,KL2,16521.35,0.62,16521.28,0.33
Nb,KL3,16615.65,0.56,16615.16,0.33
Nb,KM1,18518.9,1.2,,
Nb,KM2,18608.8,1.4,18606.5,1.2
Nb,KM3,18624.0,1.2,18622.68,0.83
Nb,KM4,18778.45,0.87,,
Nb,KM5,18782.22,0.85,,
Nb,KN1,18930.5,2.6,,
Nb,KN2,18948.34,0.9,18952.9,1.7
Nb,KN3,18955.56,0.63,18952.9,1.7
Nb,KN4,18985.99,0.83,18981.3,2.2
Nb,KN5,,,18981.3,2.2
Nb,K edge,18990.67,0.27,18982.961,40.0
Nb,L1M1,2228.7,1.8,,
Nb,L1M2,2318.7,2.0,2319.38,0.19
Nb,L1M3,2333.9,1.8,2334.8,0.2
Nb,L1M4,2488.3,1.5,,
Nb,L1M5,2492.1,1.5,,
Nb,L1N1,2640.4,3.3,,
Nb,L1N2,2658.2,1.5,2663.88,0.17
Nb,L1N3,2665.4,1.3,2663.88,0.17
Nb,L1N4,2695.8,1.4,,
Nb,L1 edge,2700.53,0.88,2710.0,4.4
Nb,L2M1,1997.5,1.3,1996.21,0.14
Nb,L2M2,2087.5,1.5,,
Nb,L2M3,2102.7,1.3,,
Nb,L2M4,2257.11,0.96,2257.38,0.18
Nb,L2M5,2260.88,0.94,,
Nb,L2N1,2409.2,2.8,2406.63,0.21
Nb,L2N2,2426.99,0.98,,
Nb,L2N3,2434.21,0.72,,
Nb,L2N4,2464.64,0.91,2461.87,0.22
Nb,L2 edge,2469.32,0.35,2464.37,0.72
Nb,L3M1,1903.2,1.4,1902.27,0.13
Nb,L3M2,1993.2,1.4,,
Nb,L3M3,2008.4,1.3,,
Nb,L3M4,2162.8,0.9,2163.02,0.17
Nb,L3M5,2166.57,0.88,2165.89,0.11
Nb,L3N1,2314.8,2.7,2312.54,0.19
Nb,L3N2,2332.68,0.93,,
Nb,L3N3,2339.9,0.66,,
Nb,L3N4,2370.34,0.86,2367.02,0.2
Nb,L3N5,,,2367.02,0.2
Nb,L3 edge,2375.01,0.3,2370.6,0.67
Mo,KL1,17135.0,1.1,,
Mo,KL2,17374.18,0.62,17374.29,0.29
Mo,KL3,17479.1,0.55,17479.372,10.0
Mo,KM1,19495.8,1.2,,
Mo,KM2,19589.9,1.4,19590.25,0.41
Mo,KM3,19607.1,1.2,19608.34,0.42
Mo,KM4,19768.7,0.89,19771.4,2.3
Mo,KM5,19772.81,0.85,19776.4,2.3
Mo,KN1,19940.3,2.8,,
Mo,KN2,19960.0,1.1,19965.27,0.95
Mo,KN3,19967.16,0.68,19965.27,0.95
Mo,KN4,20000.73,0.83,19996.8,4.3
Mo,KN5,19999.84,0.35,19996.8,4.3
Mo,K edge,20008.81,0.28,20000.351,20.0
Mo,L1M1,2360.9,1.8,,
Mo,L1M2,2454.9,2.0,2455.68,0.22
Mo,L1M3,2472.1,1.8,2473.07,0.22
Mo,L1M4,2633.7,1.5,,
Mo,L1M5,2637.8,1.5,,
Mo,L1N1,2805.3,3.4,,
Mo,L1N2,2825.1,1.7,2830.65,0.19
Mo,L1N3,2832.2,1.3,2830.65,0.19
Mo,L1N4,2865.8,1.4,,
Mo,L1N5,2864.87,0.96,,
Mo,L1 edge,2873.84,0.88,2880.6,5.0
Mo,L2M1,2121.7,1.3,2120.26,0.16
Mo,L2M2,2215.7,1.5,,
Mo,L2M3,2232.9,1.3,,
Mo,L2M4,2394.52,0.97,2394.831,55.0
Mo,L2M5,2398.63,0.95,,
Mo,L2N1,2566.1,2.9,2563.26,0.16
Mo,L2N2,2585.9,1.2,,
Mo,L2N3,2592.98,0.78,,
Mo,L2N4,2626.55,0.92,2623.52,0.16
Mo,L2N5,2625.66,0.44,,
Mo,L2 edge,2634.63,0.36,2627.3,0.82
Mo,L3M1,2016.7,1.4,2015.71,0.15
Mo,L3M2,2110.8,1.4,,
Mo,L3M3,2128.0,1.2,,
Mo,L3M4,2289.6,0.92,2289.875,50.0
Mo,L3M5,2293.71,0.89,2293.187,50.0
Mo,L3N1,2461.2,2.9,2455.68,0.36
Mo,L3N2,2480.9,1.1,,
Mo,L3N3,2488.06,0.72,,
Mo,L3N4,2521.63,0.86,2518.33,0.15
Mo,L3N5,2520.74,0.38,2518.33,0.15
Mo,L3 edge,2529.71,0.31,2523.56,0.76
Tc,KL1,18003.8,1.1,,
Tc,KL2,18251.28,0.65,18250.9,1.2
Tc,KL3,18367.56,0.58,18367.2,1.2
Tc,KM1,20501.2,1.2,,
Tc,KM2,20599.4,1.4,20599.2,2.0
Tc,KM3,20618.7,1.2,20619.0,2.0
Tc,KM4,20787.8,0.92,,
Tc,KM5,20792.02,0.89,,
Tc,KN1,20977.3,3.0,,
Tc,KN2,20999.2,1.4,21005.4,2.6
Tc,KN3,21006.03,0.79,21005.4,2.6
Tc,KN4,21042.72,0.85,,
Tc,KN5,21043.05,0.75,,
Tc,K edge,21050.47,0.3,21047.49,0.53
Tc,L1M1,2497.4,1.8,,
Tc,L1M2,2595.6,2.0,,
Tc,L1M3,2614.9,1.8,,
Tc,L1M4,2784.0,1.5,,
Tc,L1M5,2788.2,1.5,,
Tc,L1N1,2973.4,3.6,,
Tc,L1N2,2995.4,2.0,,
Tc,L1N3,3002.2,1.4,,
Tc,L1N4,3038.9,1.5,,
Tc,L1N5,3039.2,1.4,,
Tc,L1 edge,3046.63,0.91,3055.3,5.6
Tc,L2M1,2249.9,1.3,,
Tc,L2M2,2348.2,1.5,,
Tc,L2M3,2367.5,1.3,,
Tc,L2M4,2536.52,0.99,2536.83,0.61
Tc,L2M5,2540.74,0.96,,
Tc,L2N1,2726.0,3.0,,
Tc,L2N2,2747.9,1.5,,
Tc,L2N3,2754.75,0.86,,
Tc,L2N4,2791.44,0.91,,
Tc,L2N5,2791.77,0.81,,
Tc,L2 edge,2799.19,0.36,2794.91,0.93
Tc,L3M1,2133.6,1.4,,
Tc,L3M2,2231.9,1.4,,
Tc,L3M3,2251.2,1.2,,
Tc,L3M4,2420.24,0.93,,
